User,Krzysztof Kubicz,,Metabolic Load (ML),129.0
Date,2026-16-01,,Biomechanics Load (BL),0.0
Start Time,06:36:19,,ML/Duration,1.36
Duration,00:01:42:49,,BL/Duration],0.0
Activity Type,Normal Activity,,ML/BL,
Sport,Bike,,Avg BR,34.0
,,,Avg VT,252.8
Total Distance [km],57.2,,Avg VE,82.5
Elevation [m],,,Avg HR,136.0
Climb [m],,,Avg Power,
Descent [m],,,Avg Bike Power,298.0

Time,BR,VT,VE,HR,Power,Bike Power,Speed,Elevation,Cumulative Distance,External Heart Rate,External Bike Power,External Cadence,External Speed,Protocol Grade,VT calibrated,VT calibrated inst,VE calibrated,VE calibrated inst,Equivalent 0% Grade Speed,Ground Contact Time,Air Time,VE 15 sec sum,,Breath by breath time,BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed
sec,br/min,volume/br,volume/min,b/min,N/s/kg,Watts,SI,m,m,b/min,Watts,st/min,km/h,%,%,%,%,min/vol,SI,sec,sec,volume/min,,sec,br/min,br/min,volume/br,volume/br,volume/min,volume/min,sec/sec,sec/sec
0.0,,,,,,,,,,,,,,,,,,,,,,,,3.984,25.9,22.6,238.0,238.0,62.0,62.0,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,9.264000000000001,14.2,22.4,216.0,227.0,31.0,46.5,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,11.04,22.4,23.7,179.0,211.0,40.0,44.3,,
3.0,,,,96.0,,224.0,19.75,,8.83,,,,,,,,,,,,,,,12.924000000000001,28.8,25.7,265.0,224.5,77.0,52.5,,
4.0,21.9,146.9,43.12,97.0,,226.0,19.75,,17.65,,,,,,,,,,,,,,,15.504000000000001,24.6,24.3,282.0,236.0,69.0,55.8,,
5.0,22.02,147.8,43.28,97.0,,226.0,19.75,,26.48,,,,,,,,,,,,,,,17.82,25.9,24.3,135.0,219.2,35.0,52.3,,
6.0,22.13,148.6,43.45,97.0,,226.0,19.75,,35.31,,,,,,,,,,,,,,,20.334,25.9,25.4,108.0,203.3,28.0,48.9,,
7.0,22.24,149.5,43.61,96.0,,224.0,19.75,,44.13,,,,,,,,,,,,,,,22.62,22.7,25.4,87.0,188.8,20.0,45.2,,
8.0,22.36,150.3,43.77,96.0,,226.0,19.75,,52.96,,,,,,,,,,,,,,,24.174,44.1,25.4,87.0,177.4,38.0,44.4,,
9.0,22.47,151.2,43.93,96.0,,226.0,19.75,,61.79,,,,,,,,,,,,,,,26.88,24.2,25.3,142.0,173.9,34.0,43.4,,
10.0,22.75,153.3,44.33,96.0,,227.0,19.75,,70.61,,,,,,,,,,,,,,,28.799999999999997,25.0,25.0,80.0,165.4,20.0,41.3,,
11.0,23.09,155.8,44.81,96.0,,227.0,19.75,,79.44,,,,,,,,,,,,,,,30.6,34.9,28.0,82.0,158.4,28.0,40.2,,
12.0,23.4,158.2,45.27,96.0,,227.0,19.75,,88.27,,,,,,,,,,,,,,,32.484,31.9,30.6,76.0,152.1,24.0,38.9,,
13.0,23.71,160.6,45.71,97.0,,226.0,19.75,,97.1,,,,,,,,,,,,,,,33.839999999999996,39.5,30.6,76.0,146.6,30.0,38.3,,
14.0,23.95,162.3,46.04,98.0,,225.0,19.75,,105.9,,,,,,,,,,,,,,,36.0,31.3,32.7,287.0,156.0,90.0,41.7,,
15.0,24.18,164.1,46.38,99.0,,227.0,19.75,,114.8,,,,,,,,,,,,,,,37.824,28.3,32.7,261.0,162.6,74.0,43.8,,
16.0,24.42,165.9,46.73,100.0,,226.0,19.75,,123.6,,,,,,,,,,,,,,,39.36,41.7,34.2,299.0,170.6,125.0,48.5,,
17.0,24.68,167.9,47.1,101.0,,225.0,19.75,,132.4,,,,,,,,,,,,,,,41.484,32.6,34.4,299.0,177.7,98.0,51.3,,
18.0,24.94,169.8,47.46,102.0,,224.0,19.75,,141.2,,,,,,,,,,,,,,,43.62,25.4,30.7,299.0,184.1,76.0,52.6,,
19.0,25.18,171.6,47.8,103.0,,227.0,19.75,,150.1,,,,,,,,,,,,,,,45.0,42.9,34.2,93.0,179.6,40.0,52.0,,
20.0,25.41,173.4,48.14,103.0,,228.0,19.75,,158.9,,,,,,,,,,,,,,,46.524,37.5,37.3,276.0,184.1,103.0,54.4,,
21.0,25.67,175.3,48.51,104.0,,227.0,19.75,,167.7,,,,,,,,,,,,,,,50.22,20.5,31.8,387.0,193.4,80.0,55.5,,
