User,Krzysztof Kubicz,,Metabolic Load (ML),72.0
Date,2026-08-01,,Biomechanics Load (BL),843.0
Start Time,11:29:45,,ML/Duration,1.74
Duration,00:54:25,,BL/Duration],20.4
Activity Type,Normal Activity,,ML/BL,0.0854
Sport,Running,,Avg BR,39.0
,,,Avg VT,281.6
Total Distance [km],9.1,,Avg VE,105.5
Elevation [m],,,Avg HR,134.0
Climb [m],,,Avg Power,1220.0
Descent [m],,,Avg Cad,177.0

Time,BR,VT,VE,HR,Power,Cad,Speed,Elevation,Cumulative Distance,External Heart Rate,External Bike Power,External Cadence,External Speed,Protocol Grade,VT calibrated,VT calibrated inst,VE calibrated,VE calibrated inst,Equivalent 0% Grade Speed,Ground Contact Time,Air Time,VE 15 sec sum,,Breath by breath time,BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed
sec,br/min,volume/br,volume/min,b/min,N/s/kg,st/min,SI,m,m,b/min,Watts,st/min,km/h,%,%,%,%,min/vol,SI,sec,sec,volume/min,,sec,br/min,br/min,volume/br,volume/br,volume/min,volume/min,sec/sec,sec/sec
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.8999999999999999,34.1,23.2,16.0,16.0,5.0,5.0,,
1.0,23.02,243.7,50.42,,,,,,,,,,,,,,,,,,,,,10.596,27.5,24.7,477.0,246.5,131.0,68.0,,
2.0,23.04,243.7,50.58,,593.1,163.2,,,,,,,,,,,,,,,,,,12.995999999999999,13.5,24.6,477.0,323.3,64.0,66.7,,
3.0,23.06,243.7,50.74,,625.4,163.8,,,,,,,,,,,,,,,,,,15.155999999999999,24.6,25.1,109.0,269.8,27.0,56.8,,
4.0,23.08,243.7,50.9,,657.0,164.4,,,,,,,,,,,,,,,,,,17.22,28.8,27.0,122.0,240.2,35.0,52.4,,
5.0,23.1,243.7,51.06,80.0,688.8,165.0,5.84,,2.61,,,,,,,,,,,,,,,20.826,16.0,22.7,201.0,233.7,32.0,49.0,,
6.0,23.12,243.7,51.22,80.0,720.4,165.6,6.89,,5.69,,,,,,,,,,,,,,,22.416,20.5,20.4,309.0,244.4,64.0,51.1,,
7.0,23.14,243.7,51.38,80.0,752.2,166.2,7.39,,8.99,,,,,,,,,,,,,,,25.535999999999998,22.7,22.6,419.0,266.2,95.0,56.6,,
8.0,23.17,243.7,51.54,80.0,784.4,166.8,7.6,,12.39,,,,,,,,,,,,,,,27.696,27.8,23.7,419.0,283.2,116.0,63.2,,
9.0,23.19,243.7,51.7,81.0,816.7,167.4,7.66,,15.82,,,,,,,,,,,,,,,30.06,22.1,21.8,130.0,267.9,29.0,59.8,,
10.0,23.21,243.7,51.86,81.0,848.2,168.0,7.87,,19.33,,,,,,,,,,,,,,,32.796,23.8,22.9,146.0,256.8,35.0,57.5,,
11.0,23.26,243.7,52.21,82.0,880.1,168.6,7.91,,22.87,,,,,,,,,,,,,,,34.146,32.6,24.8,205.0,252.5,67.0,58.3,,
12.0,23.34,243.7,52.86,84.0,912.3,169.2,7.91,,26.41,,,,,,,,,,,,,,,36.66,29.4,27.0,205.0,248.8,60.0,58.5,,
13.0,23.43,243.7,53.5,85.0,943.4,169.8,7.97,,29.97,,,,,,,,,,,,,,,38.43,28.3,27.2,232.0,247.6,66.0,59.0,,
14.0,23.53,243.7,54.22,88.0,980.2,170.9,7.93,,33.52,,,,,,,,,,,,,,,40.620000000000005,30.6,29.4,173.0,242.7,53.0,58.6,,
15.0,23.62,243.7,54.93,88.0,1023.0,172.4,7.85,,37.02,,,,,,,,,,,,,,,41.97,36.6,30.9,164.0,237.8,60.0,58.7,,
16.0,23.72,243.7,55.67,89.0,1066.0,173.0,7.76,,40.5,,,,,,,,,,,,,,,43.536,41.7,32.2,210.0,236.1,88.0,60.4,,
17.0,23.83,243.7,56.42,90.0,1096.0,175.3,7.78,,43.98,,,,,,,,,,,,,,,45.3,35.7,34.3,150.0,231.3,53.0,60.0,,
18.0,23.89,243.7,56.92,91.0,1110.0,177.8,7.81,,47.47,,,,,,,,,,,,,,,46.74,37.5,36.6,153.0,227.2,57.0,59.8,,
19.0,23.95,243.7,57.35,91.0,1114.0,179.3,7.89,,50.99,,,,,,,,,,,,,,,48.156,42.9,38.6,303.0,231.0,130.0,63.4,,
20.0,24.01,243.7,57.77,92.0,1117.0,179.9,7.95,,54.55,,,,,,,,,,,,,,,51.936,40.0,39.7,430.0,240.5,172.0,68.5,,
21.0,24.08,243.7,58.3,92.0,1117.0,181.4,8.02,,58.13,,,,,,,,,,,,,,,53.136,30.0,37.7,209.0,239.0,63.0,68.3,,
22.0,24.21,243.7,59.27,92.0,1123.0,182.4,8.1,,61.75,,,,,,,,,,,,,,,54.815999999999995,38.5,38.7,206.0,237.6,79.0,68.7,,
23.0,24.3,243.7,59.96,93.0,1126.0,182.4,8.14,,65.39,,,,,,,,,,,,,,,56.699999999999996,34.1,37.5,249.0,238.1,85.0,69.4,,
24.0,24.37,243.8,60.46,94.0,1127.0,182.4,8.16,,69.04,,,,,,,,,,,,,,,58.596000000000004,31.3,34.6,339.0,242.1,106.0,70.9,,
25.0,24.44,243.8,60.95,95.0,1135.0,181.6,8.16,,72.69,,,,,,,,,,,,,,,61.739999999999995,21.1,31.8,452.0,250.2,95.0,71.8,,
26.0,24.58,243.8,61.55,98.0,1141.0,181.0,8.18,,76.34,,,,,,,,,,,,,,,63.275999999999996,30.6,32.0,183.0,247.7,56.0,71.2,,
27.0,24.82,243.8,62.26,99.0,1142.0,180.1,8.14,,79.98,,,,,,,,,,,,,,,64.64999999999999,42.9,32.0,183.0,245.4,79.0,71.5,,
28.0,25.05,243.8,62.96,99.0,1140.0,178.6,8.14,,83.62,,,,,,,,,,,,,,,66.06,42.9,34.9,217.0,244.4,93.0,72.2,,
29.0,25.26,243.8,63.61,100.0,1138.0,178.0,8.2,,87.29,,,,,,,,,,,,,,,67.686,39.5,37.6,226.0,243.8,89.0,72.8,,
30.0,25.47,243.8,64.27,100.0,1135.0,178.0,8.22,,90.96,,,,,,,,,,,,,,,69.57,34.1,38.8,148.0,240.7,51.0,72.1,,
31.0,25.71,243.8,64.84,100.0,1136.0,178.0,8.2,,94.63,,,,,,,,,,,,,,,71.16,34.9,39.1,297.0,242.5,104.0,73.1,,
32.0,25.95,243.8,65.4,101.0,1140.0,178.0,8.16,,98.28,,,,,,,,,,,,,,,74.736,19.7,36.1,435.0,248.3,86.0,73.5,,
33.0,26.25,243.8,66.09,102.0,1141.0,178.0,8.14,,101.9,,,,,,,,,,,,,,,76.476,25.9,31.6,211.0,247.2,55.0,72.9,,
34.0,26.82,243.8,67.23,102.0,1141.0,178.0,8.16,,105.6,,,,,,,,,,,,,,,78.17999999999999,35.7,31.6,270.0,247.9,97.0,73.6,,
35.0,27.16,243.8,67.92,103.0,1144.0,178.9,8.14,,109.2,,,,,,,,,,,,,,,80.19,31.2,30.7,293.0,249.1,91.0,74.1,,
36.0,27.47,243.8,68.53,104.0,1142.0,179.5,8.12,,112.8,,,,,,,,,,,,,,,82.80600000000001,24.6,27.2,395.0,253.1,97.0,74.7,,
37.0,27.89,243.8,69.23,105.0,1139.0,178.6,8.06,,116.4,,,,,,,,,,,,,,,84.66,28.8,28.7,187.0,251.3,54.0,74.2,,
38.0,28.53,243.8,70.11,106.0,1145.0,177.1,8.04,,120.0,,,,,,,,,,,,,,,86.16,37.5,31.9,161.0,249.0,60.0,73.8,,
39.0,29.11,243.8,70.88,105.0,1152.0,176.5,8.06,,123.6,,,,,,,,,,,,,,,87.756,39.5,32.5,230.0,248.5,91.0,74.2,,
40.0,29.63,243.8,71.59,105.0,1153.0,176.5,8.1,,127.2,,,,,,,,,,,,,,,89.52,34.9,33.7,397.0,252.1,138.0,75.8,,
41.0,30.26,245.0,72.67,107.0,1149.0,176.5,8.08,,130.9,,,,,,,,,,,,,,,92.16,26.3,33.7,389.0,255.4,102.0,76.4,,
42.0,31.05,248.1,74.32,108.0,1151.0,174.1,8.06,,134.5,,,,,,,,,,,,,,,94.14,25.9,32.9,194.0,254.0,50.0,75.8,,
43.0,31.64,244.2,73.74,108.0,1152.0,171.6,8.08,,138.1,,,,,,,,,,,,,,,95.85,33.3,31.5,267.0,254.3,89.0,76.1,,
44.0,32.18,241.8,73.63,109.0,1149.0,171.0,8.08,,141.7,,,,,,,,,,,,,,,97.71600000000001,34.1,31.2,224.0,253.6,76.0,76.1,,
45.0,32.66,241.0,74.04,109.0,1150.0,170.2,8.14,,145.3,,,,,,,,,,,,,,,99.3,34.9,31.2,400.0,256.8,139.0,77.5,,
46.0,33.09,242.4,74.62,110.0,1150.0,167.2,8.16,,149.0,,,,,,,,,,,,,,,102.276,24.6,31.1,420.0,260.3,103.0,78.0,,
47.0,33.49,245.1,75.48,110.0,1147.0,165.6,8.18,,152.6,,,,,,,,,,,,,,,104.136,25.4,30.9,211.0,259.2,54.0,77.5,,
48.0,33.83,248.6,76.94,111.0,1144.0,164.7,8.22,,156.3,,,,,,,,,,,,,,,105.66,38.5,31.5,267.0,259.4,103.0,78.0,,
